,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.186,5.83,5.9,6.03,5.82,5.9,2479860.0,1.07633,14661887.0,44.504,1.982,335808.0,134323.2
1,603998,方盛制药,-8.602,6.8,7.1,7.1,6.7,7.44,9046359.0,2.12757,61872400.0,48.571,2.907,293036.7996,289133.7696
2,603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,中新科技,-4.116,10.25,10.66,10.73,10.0,10.69,6464507.0,6.25951,67492500.0,20.918,2.038,307653.75,105856.875
4,603993,洛阳钼业,-3.413,5.66,5.87,5.91,5.65,5.86,192632079.0,1.09043,1109402948.0,40.429,3.141,12225170.169978,9998827.281978
5,603991,至正股份,-2.848,21.83,22.25,22.54,21.8,22.47,136500.0,0.33229000000000003,3037175.0,40.426,3.477,162709.900634,89675.277994
6,603990,麦迪科技,-0.208,33.6,33.52,37.04,33.42,33.67,363400.0,0.6029300000000001,12433669.0,52.5,6.34,271899.936,202513.92
7,603989,艾华集团,-2.281,20.99,21.4,21.8,20.88,21.48,924755.0,0.23712000000000003,19751214.0,21.639,3.069,818610.0,818610.0
8,603988,中电电机,9.979,16.09,16.09,16.09,16.09,14.63,1547610.0,0.9212,24901045.0,57.464,4.073,270312.0,270312.0
9,603987,康德莱,-1.549,6.99,7.11,7.19,6.97,7.1,1394670.0,0.5241100000000001,9849048.0,18.395,1.7570000000000001,308684.691,186003.92097
10,603986,兆易创新,3.254,118.68,116.04,124.5,116.04,114.94,8545999.0,4.1206,1033306325.0,59.638,14.06,3367564.321104,2461389.720372
11,603985,恒润股份,-0.311,19.25,19.32,19.47,19.01,19.31,319118.0,0.47944000000000003,6138696.0,15.211,1.4929999999999999,200200.0,128128.0
12,603980,吉华集团,-2.489,14.89,15.34,15.42,14.85,15.27,2589600.0,1.05426,39380435.0,16.863,1.819,744500.0,365747.668032
13,603979,金诚信,-2.394,8.97,9.22,9.25,8.95,9.19,3149036.0,1.0076,28558994.0,25.629,1.3519999999999999,524745.0,280339.279935
14,603978,深圳新星,-7.284,30.55,32.98,33.36,30.35,32.95,1975907.0,4.93977,61987997.0,19.459,1.807,488800.0,122200.0
15,603977,国泰集团,-1.878,8.36,8.78,8.78,8.27,8.52,836726.0,0.47554,7129649.0,26.968,1.928,258752.032,147095.872
16,603976,正川股份,-2.506,15.56,16.1,16.18,15.5,15.96,742600.0,1.96455,11698431.0,17.099,1.724,235267.2,58816.8
17,603970,中农立华,-2.608,18.3,18.73,19.05,18.2,18.79,2644620.0,6.61154,49283990.0,20.821,3.025,292800.1464,73200.1464
18,603969,银龙股份,0.308,6.51,6.57,6.76,6.43,6.49,5036672.0,0.8683900000000001,33190250.0,21.7,1.5939999999999999,377580.0,377580.0
19,603968,醋化股份,-1.669,18.26,18.57,18.99,18.25,18.57,588300.0,0.28771,10938783.0,23.114,2.7039999999999997,373380.48,373380.48
20,603966,法兰泰克,-2.86,9.85,9.6,9.89,9.55,10.14,3844636.0,4.1345,37370514.0,24.024,1.9140000000000001,207878.931,91594.26744
21,603963,大理药业,-3.473,20.01,20.48,20.98,19.99,20.73,1764100.0,5.428,35826545.0,36.382,4.239,260130.0,65032.5
22,603960,克来机电,2.884,33.53,32.7,33.88,32.38,32.59,1121452.0,2.16461,37445126.0,65.745,7.672,453325.6,173713.659084
23,603959,百利科技,-2.632,18.5,18.45,19.0,18.26,19.0,1373360.0,0.9219700000000001,25683680.0,38.542,4.201,580160.0,275576.0
24,603958,哈森股份,-1.613,9.76,9.97,10.09,9.75,9.92,1066728.0,1.6162800000000002,10614307.0,116.746,1.815,214628.8904,64415.020096
25,603955,大千生态,-0.313,19.12,19.29,19.49,19.08,19.18,476400.0,0.6679700000000001,9173927.0,19.906,1.591,216247.2,136364.247256
26,603939,益丰药房,-1.351,56.94,58.7,58.7,56.45,57.72,1070080.0,0.29504,61230823.0,65.903,6.319,2065183.382652,2065183.382652
27,603938,三孚股份,-2.653,27.89,28.94,28.94,27.67,28.65,4351505.0,8.56821,123014658.0,25.587,4.101,418814.6474,141643.8274
28,603937,丽岛新材,-5.292,17.0,18.17,18.17,16.96,17.95,3647121.0,6.98415,64139668.0,29.31,2.868,355096.0,88774.0
29,603936,博敏电子,-1.798,18.57,19.02,19.67,18.5,18.91,1993950.0,3.55428,37954751.0,47.615,3.089,310768.95,104177.7
30,603933,睿能科技,-5.898,20.58,21.55,21.84,20.45,21.87,1278436.0,3.55734,27381977.0,13.082,2.936,295812.804,73960.404
31,603929,亚翔集成,-2.248,20.0,20.5,20.74,19.97,20.46,2261372.0,2.34193,46322076.0,33.333,4.104,426720.0,193120.0
32,603928,兴业股份,-3.212,15.37,15.88,15.96,15.25,15.88,2454087.0,3.90956,38262138.0,22.94,2.645,309859.2,96479.7955
