,code,name,close
8,603988,中电电机,
135,603706,东方环宇,
163,603657,春光科技,
336,603183,建研院,
396,603058,永吉股份,
868,600679,上海凤凰,
889,600653,申华控股,
1194,600278,东方创业,
1240,600225,天津松江,
1533,300635,达安股份,
1662,300500,启迪设计,
1920,300240,飞力达,
2013,300146,汤臣倍健,
2112,300046,台基股份,
2158,2932,明德生物,
2514,2558,巨人网络,
2547,2524,光正集团,
2670,2401,中远海科,
2676,2395,双象股份,
2764,2307,北新路桥,
2865,2205,国统股份,
2871,2199,东晶电子,
3064,2006,精功科技,
3110,955,欣龙控股,
3143,909,数源科技,
3200,819,岳阳兴长,
3386,557,西部创业,
3393,548,湖南投资,
3425,509,华塑控股,
3433,498,山东路桥,
