,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.542,5.51,5.54,5.59,5.47,5.54,1547440.0,0.6716300000000001,8562128.0,42.061,1.873,317376.0,126950.4
1,603998,方盛制药,-3.135,6.18,6.3,6.43,6.15,6.38,3564100.0,0.8382200000000001,22408691.0,44.143,2.642,266318.73846,262771.57296
2,603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,中新科技,-4.644,9.24,9.51,9.75,9.16,9.69,4546297.0,4.40213,42992549.0,18.857,1.837,277338.6,95426.1
4,603993,洛阳钼业,-8.429,4.78,5.17,5.17,4.74,5.22,244722038.0,1.38529,1201375504.0,34.143,2.653,10324436.998674,8444239.294674
5,603991,至正股份,-2.527,20.06,20.58,20.8,19.65,20.58,206000.0,0.5014700000000001,4161250.0,37.148,3.195,149517.205988,82404.309508
6,603990,麦迪科技,-0.124,32.28,31.8,32.38,31.63,32.32,123000.0,0.20407000000000003,3941079.0,50.438,6.091,261218.1528,194558.016
7,603989,艾华集团,-2.171,20.28,20.5,20.56,19.87,20.73,1103855.0,0.28304,22339168.0,20.907,2.965,790920.0,790920.0
8,603988,中电电机,8.559,17.25,15.65,17.48,15.35,15.89,11503624.0,6.8474,191886053.0,61.607,4.367,289800.0,289800.0
9,603987,康德莱,0.915,6.62,6.58,6.69,6.49,6.56,1836922.0,0.6903100000000001,12110399.0,17.421,1.6640000000000001,292345.158,176158.21986
10,603986,兆易创新,-3.68,104.69,106.0,108.13,102.9,108.69,4475011.0,2.1577,470946170.0,52.608,12.403,2970595.793532,2171241.066951
11,603985,恒润股份,2.594,18.59,18.1,19.92,17.93,18.12,936580.0,1.40712,17573817.0,14.69,1.442,193336.0,123735.04
12,603980,吉华集团,-1.86,13.72,13.91,14.07,13.65,13.98,1639118.0,0.6673,22695014.0,15.538,1.6760000000000002,686000.0,337008.596736
13,603979,金诚信,-0.935,8.48,8.51,8.64,8.41,8.56,2142039.0,0.68539,18274212.0,24.229,1.278,496080.0,265025.31704
14,603978,深圳新星,-7.676,26.22,28.22,28.38,25.59,28.4,1626810.0,4.06703,43528266.0,16.701,1.5510000000000002,419520.0,104880.0
15,603977,国泰集团,-0.874,7.94,8.06,8.08,7.82,8.01,568100.0,0.32287000000000005,4504817.0,25.613,1.832,245752.528,139705.888
16,603976,正川股份,-4.212,14.1,14.64,14.85,14.0,14.72,661302.0,1.7494800000000001,9531321.0,15.495,1.562,213192.0,53298.0
17,603970,中农立华,-1.084,17.33,17.34,17.97,17.21,17.52,2037996.0,5.09498,35742620.0,19.718,2.865,277280.13864,69320.13864
18,603969,银龙股份,-4.655,6.35,6.48,6.55,6.28,6.66,4741235.0,0.8174500000000001,30308658.0,21.167,1.5550000000000002,368300.0,368300.0
19,603968,醋化股份,0.787,17.94,17.71,18.32,17.61,17.8,553139.0,0.27051000000000003,9893966.0,22.709,2.657,366837.12,366837.12
20,603966,法兰泰克,-0.562,8.84,8.89,9.01,8.76,8.89,1130878.0,1.21614,10040061.0,21.561,1.717,186563.4264,82202.367936
21,603963,大理药业,-4.964,19.53,20.29,20.38,19.5,20.55,1688640.0,5.19582,33606468.0,35.509,4.1370000000000005,253890.0,63472.5
22,603960,克来机电,-5.573,29.31,31.0,31.0,28.88,31.04,972830.0,1.8777400000000002,28895188.0,57.471,6.7059999999999995,396271.2,151850.502468
23,603959,百利科技,-0.835,17.81,17.79,18.14,17.38,17.96,673642.0,0.45223,11916688.0,37.104,4.044,558521.6,265297.76
24,603958,哈森股份,-2.0,9.31,9.49,9.53,9.21,9.5,861334.0,1.30507,8074834.0,111.364,1.7309999999999999,204733.09115,61445.065276
25,603955,大千生态,-5.506,16.99,17.82,18.15,16.93,17.98,550180.0,0.7714200000000001,9586085.0,17.689,1.413,192156.9,121173.041887
26,603939,益丰药房,-8.313,49.52,54.68,55.2,49.4,54.01,5013547.0,1.38231,258621091.0,57.315,5.496,1796063.946416,1796063.946416
27,603938,三孚股份,-0.104,28.81,29.0,29.4,27.81,28.84,4665777.0,9.18702,133353677.0,26.431,4.236,432629.9746,146316.1946
28,603937,丽岛新材,-4.896,14.57,15.09,15.38,14.3,15.32,3210924.0,6.14884,47555568.0,25.121,2.458,304338.16,76084.54
29,603936,博敏电子,-5.254,16.95,17.63,17.9,16.85,17.89,1960116.0,3.49397,33972364.0,43.462,2.819,283658.25,95089.5
30,603933,睿能科技,-3.454,19.01,19.52,19.72,18.82,19.69,1105176.0,3.07523,21249747.0,12.084,2.7119999999999997,273245.938,68318.138
31,603929,亚翔集成,-0.053,18.71,18.86,19.12,18.41,18.72,1734271.0,1.7960600000000002,32450674.0,31.183,3.84,399196.56,180663.76
32,603928,兴业股份,-1.695,13.92,14.16,14.24,13.78,14.16,1523387.0,2.42688,21388497.0,20.776,2.396,280627.2,87377.928
33,603926,铁流股份,1.31,17.01,17.08,17.25,16.73,16.79,479115.0,0.7360500000000001,8156406.0,16.676,1.94,210532.77,110722.379922
34,603922,金鸿顺,-4.396,17.4,18.19,18.19,17.22,18.2,877558.0,2.74237,15522253.0,20.0,1.955,222720.0,55680.0
35,603920,世运电路,-0.682,11.65,11.7,11.83,11.53,11.73,833100.0,0.6497900000000001,9734674.0,23.776,1.979,468097.0,149364.67097
36,603919,金徽酒,0.123,16.28,16.27,16.35,15.91,16.26,1059585.0,0.91471,17087785.0,23.594,3.041,592592.0,188584.9966
37,603918,金桥信息,-1.788,14.28,14.72,14.72,14.15,14.54,511200.0,0.28959,7350596.0,71.4,4.93,256211.76,252079.128
38,603917,合力科技,-4.446,12.68,13.15,13.32,12.51,13.27,1822841.0,4.6501,23439043.0,13.388,1.686,198822.4,49705.6
39,603916,苏博特,-1.931,12.7,12.95,13.13,12.62,12.95,2063946.0,2.71572,26569142.0,22.281,2.028,386080.0,96520.0
40,603912,佳力图,-0.515,13.52,13.73,13.89,13.42,13.59,2016290.0,3.89245,27564588.0,19.314,3.142,284487.84,70033.6
41,603909,合诚股份,-0.733,31.14,31.37,31.58,31.12,31.37,144702.0,0.57881,4541703.0,50.04,5.016,319185.0,77850.0
42,603908,牧高笛,-1.939,23.26,23.78,23.78,23.1,23.72,278200.0,1.20698,6516067.0,29.075,3.335,155120.94,53612.68343
43,603906,龙蟠科技,-3.719,9.58,9.95,10.05,9.53,9.95,956340.0,1.02474,9337415.0,21.773,1.627,243393.312,89405.77152
44,603903,中持股份,-2.25,26.5,27.21,27.4,26.15,27.11,629531.0,0.8530300000000001,16740518.0,40.769,3.5620000000000003,273840.4,195569.1414
45,603901,永创智能,0.0,8.15,8.15,8.35,8.02,8.15,3050200.0,1.65772,24980791.0,50.938,3.402,326000.0,149960.0
46,603900,莱绅通灵,-6.627,15.64,16.7,16.76,15.46,16.75,2095262.0,2.46158,33419105.0,17.085,2.22,532501.08576,133125.27144
47,603899,晨光文具,-6.396,26.05,27.6,27.65,25.6,27.83,4002616.0,0.43507,106396636.0,37.797,7.8870000000000005,2396600.0,2396600.0
48,603898,好莱客,-5.624,21.48,22.7,23.0,21.28,22.76,1062200.0,0.97813,23342648.0,18.678,3.274,688118.858328,233261.600328
49,603897,长城科技,2.264,33.43,31.85,34.18,30.76,32.69,5272770.0,11.82235,169714699.0,25.135,5.334,596391.2,149097.8
50,603896,寿仙谷,-3.964,36.1,37.39,37.39,36.0,37.59,1325400.0,2.17078,48509620.0,50.845,5.571,517437.906,220413.965
51,603895,天永智能,-6.38,28.91,30.32,31.3,28.81,30.88,2339080.0,8.65685,70081931.0,26.993,3.557,312459.28,78114.82
52,603890,春秋电子,-3.191,15.17,15.53,15.74,15.12,15.67,1551020.0,3.23466,23784727.0,9.724,1.5510000000000002,290960.6,72740.15
53,603889,新澳股份,-3.365,9.19,9.44,9.46,9.03,9.51,1232926.0,0.31488000000000005,11435576.0,15.576,1.599,361765.331492,359833.593492
54,603888,新华网,-2.42,15.32,15.65,15.8,15.2,15.7,923450.0,0.52329,14310960.0,27.855,2.9050000000000002,795152.97952,270352.00936
55,603887,城地股份,-2.908,14.69,15.1,15.25,14.58,15.13,423200.0,0.5230600000000001,6293856.0,21.925,1.945,211829.8,118854.61588
56,603886,元祖股份,-1.479,19.32,19.64,19.69,18.71,19.61,1235996.0,1.01972,23708614.0,22.729,3.8689999999999998,463680.0,234175.788
57,603885,吉祥航空,-3.588,12.63,13.23,13.23,12.31,13.1,8607207.0,0.47897000000000006,109050436.0,17.068,2.499,2269628.021451,2269628.021451
58,603883,老百姓,-7.384,64.09,68.1,68.19,63.1,69.2,1301480.0,0.48745000000000005,86531449.0,46.442,6.034,1826214.209794,1711203.0
59,603882,金域医学,-0.629,22.13,22.0,22.37,21.39,22.27,1251595.0,1.8223600000000002,27573423.0,48.109,5.922,1013298.568901,151988.84
60,603881,数据港,-3.863,33.35,34.85,34.88,33.09,34.69,1154158.0,0.90278,39137608.0,59.554,7.5600000000000005,702306.00418,426361.60093
61,603880,南卫股份,0.0,18.85,0.0,0.0,0.0,18.85,0.0,0.0,0.0,33.07,3.465,245050.0,61262.5
62,603879,永悦科技,-4.959,10.54,11.01,11.18,10.42,11.09,1441054.0,1.77908,15420564.0,29.278,2.863,151776.0,85374.0
63,603878,武进不锈,-0.379,13.13,13.18,13.32,13.04,13.18,852600.0,0.8440700000000001,11203313.0,20.841,1.291,268467.5344,132626.27443
64,603877,太平鸟,-6.465,25.03,26.01,26.65,24.88,26.76,1803471.0,0.9073300000000001,46239474.0,25.804,3.484,1203773.7972,497511.298
65,603876,鼎胜新材,-6.398,24.43,25.51,25.93,24.2,26.1,5824627.0,8.96096,145774592.0,32.573,3.707,1050490.0,158795.0
66,603871,嘉友国际,-0.579,39.5,39.45,39.9,39.01,39.73,815980.0,2.91421,32214829.0,11.493,2.251,442400.0,110600.0
67,603869,新智认知,-0.642,17.03,17.21,17.38,16.7,17.14,612914.0,0.22861,10452985.0,22.117,1.6219999999999999,594017.074404,456583.516636
68,603868,飞科电器,-0.093,53.63,54.02,54.02,51.3,53.68,697248.0,1.5991900000000001,36793664.0,27.932,10.841,2336122.8,233826.8
69,603866,桃李面包,-6.366,50.6,53.9,53.9,50.56,54.04,1128701.0,1.9073200000000001,58546378.0,44.386,7.296,2381367.56,299437.3404
70,603861,白云电器,-4.545,9.66,10.03,10.21,9.6,10.12,1198540.0,0.9898300000000001,11775678.0,25.502,1.9220000000000002,427687.465968,116968.411392
71,603860,中公高科,-0.945,27.24,27.6,27.83,27.19,27.5,264000.0,1.09181,7224625.0,33.22,3.236,181636.32,65866.32
72,603859,能科股份,-2.848,16.03,16.52,16.71,15.91,16.5,743145.0,1.48957,12070016.0,47.723,2.718,182036.68,79973.67
73,603858,步长制药,-3.431,37.71,38.91,38.91,37.5,39.05,3726807.0,1.13679,142170544.0,15.697,1.9260000000000002,2571067.8,1236266.207352
74,603856,东宏股份,0.425,16.54,16.38,16.75,15.35,16.47,7086353.0,11.05015,113420657.0,21.205,2.222,424109.7484,106069.366
75,603855,华荣股份,-1.68,8.78,8.9,8.97,8.76,8.93,486700.0,0.24149,4320147.0,20.419,2.016,290679.46,176952.12
76,603848,好太太,-1.192,18.23,18.37,18.58,17.51,18.45,3388313.0,8.26418,60933676.0,31.982,6.436,731023.0,74743.0
77,603843,正平股份,-1.281,9.25,9.09,9.65,8.92,9.37,14283776.0,7.4072,132199143.0,77.083,2.826,370002.775,178373.608025
78,603839,安正时尚,-5.185,14.08,14.8,14.97,13.88,14.85,1743553.0,1.66898,24682624.0,14.08,1.524,569478.30016,147090.944
79,603838,四通股份,0.0,10.03,0.0,0.0,0.0,10.03,0.0,0.0,0.0,62.688,3.768,267480.04,267480.04
80,603833,欧派家居,-3.952,100.85,104.63,105.5,100.2,105.0,568401.0,0.6350300000000001,58664666.0,31.417,6.718,4238558.63359,902681.66509
81,603829,洛凯股份,-3.534,12.01,12.45,12.53,11.88,12.45,1462700.0,3.65675,17850041.0,28.595,3.115,192160.0,48040.0
82,603828,柯利达,1.821,7.27,7.11,7.28,7.06,7.14,1697796.0,0.40309000000000006,12182488.0,42.765,2.188,312097.419926,306212.4
