Unnamed: 0,code,name,trade,rised_time,industry
163,603657,春光科技,42.81,09:25:02,
3426,509,华塑控股,3.92,14:44:03,
3347,610,西安旅游,6.62,10:05:57,
3335,626,远大控股,7.56,09:52:36,
3065,2006,精功科技,8.02,09:34:15,
3002,2069,獐子岛,3.99,09:30:33,
2811,2261,拓维信息,4.61,09:30:06,
2535,2538,司尔特,5.01,10:15:12,
2390,2683,宏大爆破,8.91,09:25:03,
2373,2700,新疆浩源,9.75,09:58:39,
3482,68,华控赛格,3.37,09:47:15,
2336,2740,爱迪尔,7.14,09:30:03,
2294,2786,银宝山新,7.13,10:33:48,
2199,2888,惠威科技,18.8,13:57:27,
1434,300743,天地数码,62.26,09:47:57,
516,601606,N军工,4.8,09:30:05,
2323,2755,东方新星,11.8,09:25:03,
1192,600281,太化股份,4.7,09:25:02,化工行业
1110,600378,天科股份,10.08,09:33:33,化工行业
828,600722,金牛化工,5.7,09:30:21,化工行业
3558,600722,金牛化工,5.7,09:30:21,化工行业
2143,300016,北陆药业,11.53,09:25:03,生物制药
2084,300076,GQY视讯,6.03,09:41:12,电子信息
