code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
601318,中国平安,2.733,59.39,57.86,59.65,57.86,57.81,43921726.0,0.40546000000000004,2594897396.0,11.902,2.163,108566353.73399,64335194.453622
600519,贵州茅台,3.924,670.09,647.0,672.3,647.0,644.79,3688010.0,0.29359,2431823599.0,31.08,9.013,84176558.3802,84176558.3802
000063,中兴通讯,0.184,16.36,16.15,16.43,16.01,16.33,106000599.0,3.08681,1717827286.0,15.009,2.759,6859211.135148,5617998.803964
000858,五 粮 液,4.046,64.54,62.05,64.65,61.9,62.03,24966504.0,0.6577500000000001,1581951824.0,25.33,4.202,25051898.06427,24497905.504772
000651,格力电器,3.312,39.62,38.55,39.73,38.3,38.35,33064141.0,0.55388,1291471775.0,10.651,3.3609999999999998,23834325.738636,23651429.719498
002236,大华股份,-2.788,15.34,15.66,15.7,14.3,15.78,77803672.0,4.23899,1152645542.0,18.707,4.051,4446691.90342,2815548.633638
603799,华友钴业,3.07,52.38,50.89,53.26,50.41,50.82,20893882.0,2.5484,1083133274.0,16.369,4.598,4346216.27883,4294537.683696
600887,伊利股份,4.595,26.63,25.4,26.67,25.28,25.46,39881675.0,0.66102,1040457403.0,26.899,5.957,16187025.815104,16066862.078406
300724,捷佳伟创,3.806,36.0,35.0,36.15,34.22,34.68,29234726.0,36.54341,1025956677.0,33.962,9.108,1152000.0,288000.0
600276,恒瑞医药,4.913,65.99,63.0,66.28,62.95,62.9,15101164.0,0.41238,977249063.0,58.023,14.234,24300437.720951,24165194.515451
600536,中国软件,-3.161,29.1,29.8,29.86,28.65,30.05,33301756.0,6.73358,975277451.0,194.0,7.2,1439177.69562,1439177.69562
000333,美的集团,2.422,42.71,42.0,42.84,41.57,41.7,22556282.0,0.34808000000000006,952531260.0,16.056,3.549,28303539.072023,27677318.068938
000636,风华高科,3.003,16.12,16.0,16.43,15.88,15.65,56046650.0,6.40203,905163904.0,57.571,3.0,1443115.774932,1411226.855636
300747,锐科激光,4.587,159.59,155.91,161.77,154.02,152.59,5636534.0,17.61417,887050311.0,55.221,10.983,2042752.0,510688.0
601336,新华保险,3.048,45.98,44.55,46.3,44.32,44.62,19359120.0,0.9283,885792048.0,26.578,2.191,14343675.2668,9588850.08532
600029,南方航空,4.394,6.89,6.69,6.99,6.64,6.6,122780785.0,1.74835,836134858.0,11.483,1.315,6950751.384408,4838605.85
002415,海康威视,2.183,32.3,31.75,32.32,31.47,31.61,25109068.0,0.31755,802460174.0,31.359,9.93,29804083.62779,25539821.13541
300059,东方财富,1.021,12.86,12.65,12.96,12.62,12.73,60987863.0,1.46838,779791717.0,86.425,4.729,6646291.940054,5341297.005038
600779,水井坊,0.0,42.45,38.26,42.88,38.26,42.45,19084349.0,3.9063600000000003,766266846.0,61.817,13.425,2073876.48801,2073876.48801
600779,水井坊,0.0,42.45,38.26,42.88,38.26,42.45,19084349.0,3.9063600000000003,766266846.0,61.817,13.425,2073876.48801,2073876.48801
600050,中国联通,0.531,5.68,5.66,5.71,5.58,5.65,132250032.0,0.62392,747945923.0,302.128,1.278,17623797.038216,12039666.75236
000725,京东方Ａ,0.845,3.58,3.55,3.59,3.53,3.55,209484117.0,0.61867,745784498.0,16.498,1.438,12457826.757154,12122057.337806
002027,分众传媒,3.941,9.23,8.96,9.28,8.9,8.88,80963052.0,1.16245,740801986.0,18.837,9.754,13547683.49844,6428592.419626
000001,平安银行,2.556,9.23,9.02,9.25,9.01,9.0,80362274.0,0.46803000000000006,738144619.0,7.1,0.761,15848289.690818,15848137.771479
000002,万 科Ａ,1.67,23.74,23.39,23.78,23.22,23.35,30429328.0,0.31321000000000004,716405602.0,9.346,1.943,26206946.850374,23063813.682082
600703,三安光电,-3.188,16.4,16.8,16.92,16.02,16.94,42048914.0,1.03101,688566284.0,21.026,3.227,6688616.88192,6688616.88192
600030,中信证券,1.12,16.25,16.07,16.3,16.0,16.07,41314306.0,0.42094000000000004,668494799.0,17.287,1.298,19689976.15,15948825.2625
600036,招商银行,1.335,27.32,27.04,27.42,26.89,26.96,24459594.0,0.11857000000000001,665218455.0,9.827,1.491,68900618.181932,56358276.180028
601186,中国铁建,5.161,10.8,10.25,10.91,10.22,10.27,61708686.0,0.5364500000000001,656302265.0,9.31,1.056,14665904.82,12423505.14
601601,中国太保,3.234,34.48,33.4,34.6,33.25,33.4,19029957.0,0.3027,651377705.0,21.284,2.206,31245776.0,21676541.6
000977,浪潮信息,1.107,26.48,26.32,26.6,25.77,26.19,24813254.0,1.93233,651266210.0,67.88,4.672,3413939.748808,3400322.65772
600309,万华化学,2.526,48.7,47.49,48.72,47.39,47.5,13163182.0,0.48146000000000005,633086113.0,11.907,4.422,13314642.336,13314642.336
600588,用友网络,-1.995,27.02,27.0,27.11,26.03,27.57,23703808.0,1.25886,630656355.0,100.074,8.83,5130100.526978,5087768.949564
600789,鲁抗医药,6.355,12.05,11.89,12.1,11.64,11.33,51424735.0,8.84231,609779188.0,60.25,2.791,815905.25418,700798.447375
002230,科大讯飞,2.102,30.12,29.6,30.19,29.37,29.5,20378710.0,1.12116,607110673.0,91.273,8.311,6302701.841904,5474746.104468
000735,罗 牛 山,3.696,10.66,10.2,10.8,10.1,10.28,55459303.0,5.23397,576179442.0,80.271,3.174,1227513.474148,1129537.77339
601111,中国国航,4.539,7.6,7.3,7.67,7.29,7.27,76649355.0,0.81122,574192724.0,14.074,1.251,11038859.5406,7180976.28228
600487,亨通光电,-0.46,23.78,23.97,24.04,23.5,23.89,24173536.0,1.29943,574127334.0,14.554,3.07,4526964.884716,4423853.775042
600048,保利地产,1.156,11.38,11.25,11.42,11.13,11.25,50527260.0,0.43052,568944161.0,8.621,1.292,13494905.927418,13355955.988582
601888,中国国旅,5.035,60.29,57.9,60.4,57.9,57.4,9479959.0,0.48554,564792541.0,46.513,7.802,11771475.054776,11771475.054776
002008,大族激光,3.229,45.39,43.89,45.45,43.5,43.97,11964482.0,1.20453,532624370.0,29.096,6.32,4843409.147055,4508542.338654
002195,二三四五,0.217,4.61,4.55,4.63,4.5,4.6,113309466.0,2.67873,516973301.0,15.897,2.4939999999999998,2044850.702942,1950016.948168
002460,赣锋锂业,1.586,31.39,31.19,31.5,30.68,30.9,16166347.0,2.05569,503413316.0,15.829,7.982,3499654.202763,2468576.548592
601688,华泰证券,2.452,15.46,15.08,15.53,15.03,15.09,32982936.0,0.60589,503013536.0,11.937,1.245,12756819.0,8415995.94352
601288,农业银行,1.401,3.62,3.57,3.62,3.56,3.57,139458618.0,0.04743000000000001,502198922.0,6.241,0.852,126693858.26203,106448016.39325
000860,顺鑫农业,5.061,38.61,36.9,38.75,36.6,36.75,12677992.0,2.22191,480390871.0,50.254,3.418,2203047.959112,2203047.959112
601398,工商银行,0.933,5.41,5.38,5.43,5.35,5.36,88674665.0,0.03289,479110779.0,6.848,0.925,192815785.08515,145860206.9836
603650,彤程新材,-3.814,33.54,34.02,34.28,32.28,34.87,14171587.0,24.10134,472610714.0,55.9,9.495,1965402.075,197215.2
300618,寒锐钴业,3.178,129.88,125.0,131.6,123.88,125.88,3654941.0,3.20654,466740393.0,33.217,20.532,2493696.0,1480424.192
603259,药明康德,6.906,78.02,72.5,79.87,72.45,72.98,6162080.0,5.9137900000000005,466575605.0,59.557,10.989,8129571.307912,812957.133912
600585,海螺水泥,1.891,37.18,36.39,37.29,36.2,36.49,12552987.0,0.31385,462222358.0,12.435,2.094,19702806.988722,14870894.188722
601600,中国铝业,3.457,3.89,3.79,3.96,3.78,3.76,118076613.0,1.07736,459444479.0,43.222,1.183,5797577.513804,4263374.752252
300750,宁德时代,1.581,70.04,68.97,70.78,68.02,68.95,6560296.0,3.01979,454881792.0,34.874,5.448,15215748.748,1521575.105932
002466,天齐锂业,2.047,39.88,39.29,40.24,38.82,39.08,10495193.0,0.9250400000000001,415257441.0,20.557,4.93,4554506.769788,4524672.51786
002049,紫光国微,-0.361,44.14,44.28,44.42,43.43,44.3,9296016.0,1.53755,408241670.0,95.707,7.594,2678494.510752,2668702.846272
002044,美年健康,10.0,15.84,14.73,15.84,14.52,14.4,26237704.0,1.99254,407910130.0,66.0,6.44,4944562.058304,2085809.814
000568,泸州老窖,3.747,46.79,45.15,47.12,44.95,45.1,8785795.0,0.6267600000000001,404621809.0,26.023,4.186,6853576.835204,6558891.005519
600196,复星医药,3.937,31.68,30.59,31.78,30.52,30.48,12699900.0,0.66498,395516271.0,24.945,3.05,8119776.91536,6050275.114752
603993,洛阳钼业,0.81,4.98,4.95,5.01,4.89,4.94,78619376.0,0.44504000000000005,389983168.0,35.571,2.7640000000000002,10756421.810334,8797554.746334
601668,中国建筑,1.642,5.57,5.49,5.61,5.48,5.48,69651006.0,0.16733,387183253.0,5.206,0.8150000000000001,23385742.171435,23184782.246708
002405,四维图新,-0.8,19.85,19.79,19.97,19.55,20.01,19593616.0,1.89406,386872144.0,90.805,3.7960000000000003,2599299.89927,2053432.55343
601166,兴业银行,1.606,15.18,14.95,15.2,14.91,14.94,25283660.0,0.13271000000000002,381595702.0,5.54,0.769,31535221.560018,28921447.188018
300122,智飞生物,2.835,39.54,38.7,39.64,38.19,38.45,9638632.0,1.10895,376270834.0,146.444,18.542,6326400.0,3436694.32485
600660,福耀玻璃,7.946,24.18,23.7,24.5,23.62,22.4,15287315.0,0.7632300000000001,367815083.0,19.19,3.193,6065837.192376,4843220.950776
600756,浪潮软件,-1.231,20.06,20.0,20.24,19.75,20.31,18223359.0,5.62278,364153170.0,52.789,2.992,650142.098518,650142.098518
603559,中通国脉,-2.11,25.52,25.72,26.26,24.88,26.07,13853077.0,17.42558,354664115.0,120.948,4.589,353984.528392,202880.172
002755,东方新星,-2.743,17.73,17.53,17.89,17.03,18.23,20287756.0,11.77617,354078477.0,161.182,5.837,305448.894,305448.894
600516,方大炭素,1.325,23.7,23.5,23.74,23.24,23.39,14909496.0,0.8672500000000001,350178983.0,11.232,3.624,4239442.67586,4074410.09586
600498,烽火通信,-2.231,31.12,31.64,31.7,30.5,31.83,11171007.0,1.08228,346509611.0,39.897,3.607,3466578.087088,3212133.224432
000661,长春高新,7.36,211.5,198.8,211.51,197.52,197.0,1665202.0,0.9794800000000001,340855640.0,54.37,7.997,3597874.40475,3595694.47425
000538,云南白药,2.2,81.76,80.25,81.9,79.19,80.0,4203894.0,0.40368000000000004,340273437.0,27.073,4.329,8514484.094368,8514424.50768
300015,爱尔眼科,4.152,29.1,28.11,29.2,28.0,27.94,11765459.0,0.6408200000000001,336410305.0,58.788,8.462,6937281.31479,5342790.76452
600436,片仔癀,3.285,100.29,96.99,100.5,96.12,97.1,3390902.0,0.5620400000000001,336284242.0,74.843,13.632,6050668.29909,6050668.29909
603019,中科曙光,0.722,48.86,48.55,48.98,47.75,48.51,6814620.0,1.05978,330051638.0,101.792,9.937,3141815.11742,3141815.11742
300003,乐普医疗,5.962,32.7,31.0,32.87,30.86,30.86,10208499.0,0.7254900000000001,327705372.0,64.714,9.224,5826005.05167,4601286.72948
600031,XD三一重,1.456,9.06,8.97,9.07,8.86,8.93,36248224.0,0.46822,325745531.0,33.15,2.589,7048877.543334,7013992.840512
603713,密尔克卫,0.562,42.92,42.58,43.5,41.0,42.68,7687570.0,20.16676,325139252.0,58.642,6.14,654418.339328,163611.04
601869,长飞光纤,-0.302,49.57,49.79,49.8,48.5,49.72,6493090.0,8.56715,319394645.0,26.651,6.053,3756935.620356,375693.55807
600115,东方航空,4.128,5.55,5.38,5.58,5.34,5.33,58049350.0,0.5918300000000001,318506175.0,12.639,1.45,8029510.05351,5443709.55351
601138,工业富联,0.871,15.05,14.9,15.14,14.81,14.92,21112953.0,1.88864,316199874.0,15.842,4.88,29641426.83411,1682424.009035
300347,泰格医药,6.983,50.56,46.92,50.94,46.55,47.26,6429864.0,1.9401000000000002,315748355.0,84.015,9.581,2528892.571072,1675657.785792
600271,航天信息,1.964,28.03,27.58,28.2,27.06,27.49,11418515.0,0.61828,315148047.0,33.341,5.261,5220629.12455,5176613.89585
002217,合力泰,-6.718,6.11,6.56,6.65,5.9,6.55,51872261.0,2.56405,313317978.0,16.079,1.849,1911397.823036,1236089.321506
002304,洋河股份,4.829,113.74,110.0,114.25,108.93,108.5,2779134.0,0.22373,309883304.0,25.85,5.199,17140481.512,14128714.703862
601939,建设银行,0.901,6.72,6.65,6.76,6.63,6.66,46074474.0,0.48026,309001136.0,7.0,0.9460000000000001,168007376.87059,6446937.911232
002110,三钢闽光,-0.859,20.77,20.81,21.0,20.45,20.95,14719973.0,1.48594,305048140.0,7.162,2.382,3394615.898243,2057517.3246
600570,恒生电子,0.0,51.01,50.99,51.1,50.11,51.01,6008967.0,0.9726300000000001,304494787.0,67.118,9.999,3151424.22318,3151424.22318
002657,中科金财,1.391,15.31,15.27,15.71,14.96,15.1,19710351.0,7.13122,302146680.0,-21.871,1.999,516829.906266,423160.924127
002594,比亚迪,-0.774,44.89,45.25,45.58,44.4,45.24,6682143.0,0.58701,300799502.0,32.064,2.395,12246633.276095,5109976.652951
300295,三六五网,5.152,13.88,13.25,14.46,13.11,13.2,22056941.0,12.43549,300059463.0,28.327,2.378,267878.448,246190.86472
600298,安琪酵母,4.425,25.96,25.03,25.97,24.86,24.86,11804913.0,1.43249,299392976.0,25.253,5.376,2139314.128028,2139314.128028
000932,华菱钢铁,-0.485,10.25,10.2,10.32,10.1,10.3,29276045.0,0.9709000000000001,299147353.0,7.501,2.6029999999999998,3091041.275625,3090734.06365
002456,欧菲科技,1.787,16.52,16.22,16.65,16.13,16.23,18191188.0,0.6844600000000001,297928983.0,43.474,4.5969999999999995,4484264.7507,4390617.97538
002371,北方华创,-0.99,52.0,51.99,52.45,51.06,52.52,5729760.0,1.59543,296521515.0,189.573,7.173,2381622.7344,1867500.4348
600690,青岛海尔,3.106,15.6,15.13,15.6,15.1,15.13,18982803.0,0.31133000000000005,291735958.0,13.732,2.844,9511948.25412,9511948.25412
600810,神马股份,0.152,19.73,19.8,20.35,19.4,19.7,14384001.0,3.25224,286723348.0,131.533,3.0,872618.44,872618.44
600260,凯乐科技,-2.3,20.81,21.38,21.49,20.33,21.3,13583842.0,2.16214,282543146.0,19.269,2.801,1475113.776363,1307404.756492
000528,柳 工,1.892,11.85,11.63,11.86,11.52,11.63,24117954.0,2.14362,282063072.0,41.289,1.432,1333411.93116,1333246.534785
603986,兆易创新,0.829,105.83,104.49,106.18,102.3,104.96,2684328.0,1.2942900000000002,280176512.0,53.181,12.538,3002527.673054,2194884.345357
300072,三聚环保,0.368,13.63,13.44,13.73,12.97,13.58,20903083.0,1.16066,279815500.0,9.531,2.621,3203736.885213,2454724.012748
601390,中国中铁,4.885,7.3,6.91,7.47,6.89,6.96,38530199.0,0.20674,279681420.0,10.912,1.125,16676340.12639,13604945.42639
300496,中科创达,0.312,28.94,29.43,29.43,28.37,28.85,9657534.0,4.22113,279428422.0,146.904,9.135,1168079.862772,662119.009546
300310,宜通世纪,-4.035,5.47,5.43,5.54,5.26,5.7,51641845.0,8.21842,278237535.0,20.259,1.358,489006.341242,343716.629207
600176,中国巨石,3.494,10.07,9.74,10.14,9.7,9.73,27382631.0,0.78185,273286502.0,13.671,2.706,3526822.996943,3526822.996943
300383,光环新网,-1.1,15.29,15.33,15.54,15.14,15.46,17779799.0,1.28061,272607951.0,50.967,3.304,2211471.425152,2122834.474079
002475,立讯精密,4.289,17.02,16.5,17.08,16.48,16.32,16276814.0,0.39598000000000005,272579144.0,32.113,4.033,7003077.660844,6996057.744824
000703,恒逸石化,2.719,17.38,16.92,17.62,16.88,16.92,15737924.0,0.7586,272541557.0,17.38,2.297,4010946.156228,3605641.778904
600801,华新水泥,2.844,20.25,19.52,20.28,19.3,19.69,13752644.0,1.41376,271682327.0,14.568,2.443,3032581.933125,1969861.933125
300146,汤臣倍健,1.499,18.96,18.71,19.15,18.2,18.68,14329778.0,1.6303100000000001,268939292.0,36.462,5.198,2785276.86048,1666504.999368
