code,name,trade,rised_time,industry
601606,长城军工,15.07,09:25:00,专用机械
300471,厚普股份,8.14,09:53:42,专用机械
603901,永创智能,8.82,09:37:59,专用机械
000766,通化金马,7.25,13:39:24,中成药
300399,京天利,10.44,10:02:36,互联网
300104,乐视网,2.52,10:01:48,互联网
603032,德新交运,14.27,09:32:47,公路
603069,海汽集团,7.89,09:42:47,公路
603336,宏辉果蔬,23.35,14:01:04,农业综合
603669,灵康药业,11.33,09:32:11,化学制药
300132,青松股份,12.38,13:25:06,化工原料
002109,兴化股份,4.31,14:09:27,化工原料
002721,金一文化,7.8,09:25:03,服饰
600501,航天晨光,7.76,13:13:06,汽车配件
002927,泰永长征,33.21,09:35:09,电气设备
600540,新赛股份,4.31,14:56:54,种植业
000633,合金投资,4.98,10:24:42,综合类
000034,神州数码,13.55,10:20:39,综合类
603363,傲农生物,12.87,14:42:40,饲料
