code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
000063,中兴通讯,0.475,19.04,19.1,19.43,18.71,18.95,107770839.0,3.13836,2055374806.0,17.468,3.211,7982847.189072,6538306.676496
002027,分众传媒,-8.271,8.65,9.0,9.0,8.5,9.43,220973442.0,3.17268,1922563261.0,17.653,10.155,12696366.4422,6024628.86563
000725,京东方Ａ,-2.168,3.61,3.68,3.69,3.6,3.69,315743251.0,0.9325,1145950581.0,16.636,1.47,12562221.953443,12223369.076374
002230,科大讯飞,4.91,31.41,29.94,31.56,29.77,29.94,32689822.0,1.79847,1003727017.0,95.182,8.667,6572638.275372,5709222.282249
601606,长城军工,-0.144,20.76,20.18,21.38,20.01,20.79,43275591.0,29.24026,904104816.0,103.8,7.159,1503498.1584,307248.0
000858,五 粮 液,-0.793,63.79,64.29,64.51,63.4,64.3,11388646.0,0.30004000000000003,727954069.0,25.035,4.328,24760777.463895,24213222.685922
601318,中国平安,0.382,63.14,62.68,63.3,62.65,62.9,11521558.0,0.10636000000000001,725161732.0,12.653,2.237,115421444.26274,68397443.640372
600519,贵州茅台,0.734,686.0,682.0,687.0,679.1,681.0,1009386.0,0.08035,690190542.0,31.818,9.227,86175169.08,86175169.08
600536,中国软件,-1.103,29.6,30.19,30.92,29.35,29.93,22797587.0,4.60964,687361003.0,197.333,7.879,1463905.83472,1463905.83472
000651,格力电器,0.935,41.01,40.55,41.12,40.38,40.63,15024040.0,0.25168,614450457.0,11.024,3.479,24670512.330678,24481199.717229
000629,攀钢钒钛,-6.069,3.25,3.36,3.37,3.21,3.46,179703993.0,3.76964,593036680.0,32.338,5.113,2791667.51565,1549320.183125
600789,鲁抗医药,2.273,13.05,13.42,13.65,13.02,12.76,40185874.0,6.90983,536752155.0,65.25,3.013,883615.23378,758955.994875
002236,大华股份,-3.301,15.82,16.37,16.47,15.53,16.36,33501625.0,1.8252700000000002,534651044.0,19.293,4.178,4585832.19766,2903649.242774
600309,万华化学,-0.537,50.01,49.72,50.09,49.18,50.28,10609513.0,0.38806,526699391.0,12.227,4.541,13672798.0128,13672798.0128
000977,浪潮信息,-2.059,27.12,28.1,28.1,26.9,27.69,19020637.0,1.48123,521544396.0,69.521,4.7010000000000005,3496451.887752,3482505.68268
300747,锐科激光,2.072,172.4,167.9,177.0,167.66,168.9,2953085.0,9.22839,509986421.0,59.654,11.864,2206720.0,551680.0
300144,宋城演艺,-6.76,22.76,24.42,24.42,22.18,24.41,21330948.0,1.80282,487642258.0,31.178,4.24,3306135.3528,2692956.185368
601360,三六零,10.004,25.84,23.78,25.84,23.73,23.49,19151574.0,4.82186,484420716.0,0.0,9.042,17478318.551528,1026319.432712
000636,风华高科,-2.006,17.1,17.31,17.4,16.91,17.45,28310916.0,3.23387,484303076.0,61.071,3.182,1530848.61981,1497021.04413
000001,平安银行,-0.097,10.28,10.25,10.33,10.15,10.29,47155420.0,0.27463000000000004,482593386.0,7.908,0.847,17651182.884248,17651013.682644
000933,神火股份,1.349,5.26,5.15,5.43,5.12,5.19,90896993.0,4.78287,478331743.0,27.155,1.6139999999999999,999663.0,999646.5099
601166,兴业银行,-1.683,15.19,15.32,15.34,15.14,15.45,30952873.0,0.16246000000000002,471189747.0,5.5440000000000005,0.771,31555995.750769,28940499.524769
