code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
000063,中兴通讯,1.402,18.81,18.31,19.48,18.07,18.55,232653212.0,6.77475,4382323836.0,17.257,3.576,7886415.736683,6459587.889183
601318,中国平安,-3.086,62.8,64.41,64.64,62.8,64.8,50743718.0,0.46843,3235414305.0,12.585,2.225,114799916.0548,68029133.04744
000651,格力电器,-3.217,37.61,38.56,38.64,37.58,38.86,61375742.0,1.0281,2335170533.0,10.11,2.8890000000000002,22625163.832158,22452477.118492
600519,贵州茅台,-2.555,657.79,675.0,676.99,657.0,675.04,2898342.0,0.23072,1927600143.0,30.51,8.847,82631435.0862,82631435.0862
601606,长城军工,9.981,22.59,20.56,22.59,19.71,20.54,76763083.0,51.86695,1608927612.0,112.95,7.79,1636031.9556,334332.0
600050,中国联通,1.091,5.56,5.76,5.76,5.53,5.5,278016611.0,1.31161,1573950873.0,295.745,1.251,17251463.297972,11785307.59562
600536,中国软件,-1.794,30.65,30.8,31.77,30.51,31.21,47769878.0,9.65901,1485549285.0,204.333,8.159,1515834.92683,1515834.92683
000858,五 粮 液,-2.979,60.9,62.75,62.75,60.8,62.77,21713048.0,0.57203,1342662987.0,23.901,4.132,23638992.75045,23116244.89062
000002,万 科Ａ,-4.175,23.41,24.11,24.2,23.41,24.43,54664437.0,0.56267,1296346120.0,9.217,1.916,25842654.834341,22743213.070663
603713,密尔克卫,-10.008,47.57,54.7,58.1,47.57,52.86,25038257.0,65.68273,1284730653.0,64.995,6.805,725318.741888,181336.84
000001,平安银行,-3.643,10.05,10.3,10.33,10.05,10.43,117945317.0,0.6869200000000001,1202345698.0,7.731,0.8290000000000001,17256263.42283,17256098.006865
002230,科大讯飞,-1.916,31.23,31.6,32.25,31.17,31.84,37515414.0,2.06396,1192690811.0,94.636,8.617,6534972.726516,5676504.676047
600487,亨通光电,0.463,23.86,23.6,24.61,23.51,23.75,48769740.0,2.62157,1177176542.0,14.603,4.11,4542194.371292,4438736.378154
600887,伊利股份,-2.541,23.4,23.9,24.03,23.4,24.01,47926261.0,0.7943500000000001,1135696452.0,23.636,5.802,14223672.70272,14118083.83908
300253,卫宁健康,-2.97,15.03,15.2,15.33,14.92,15.49,71845247.0,6.0309,1086780204.0,104.448,8.597,2428653.558393,1790502.880545
002049,紫光国微,-5.138,41.91,43.34,43.52,41.73,44.18,25634151.0,4.23986,1086061843.0,90.872,6.9190000000000005,2543174.103888,2533877.124768
000977,浪潮信息,-1.477,27.35,27.59,28.05,27.3,27.76,38345786.0,2.98618,1060118785.0,70.11,4.741,3526104.687685,3512040.207275
002415,海康威视,1.096,32.28,31.6,32.6,31.47,31.93,32648904.0,0.41291000000000005,1048824586.0,31.34,9.924,29785629.086844,25524007.004676
603019,中科曙光,-1.619,53.47,54.48,55.22,53.47,54.35,19070606.0,2.96577,1035557697.0,111.396,10.358,3438249.16759,3438249.16759
600036,招商银行,-3.317,27.69,28.35,28.48,27.68,28.64,35940314.0,0.17422,1008629733.0,9.96,1.4969999999999999,69833752.469169,57121547.123901
300059,东方财富,-2.418,12.51,12.74,12.82,12.47,12.82,78713003.0,1.89514,994787522.0,84.073,4.6,6465405.300939,5195927.335383
000333,美的集团,-3.027,41.0,41.86,42.0,41.0,42.28,23670445.0,0.36437,979468971.0,15.414,3.426,27236203.2236,26635054.5201
600309,万华化学,-2.275,46.39,47.5,47.7,46.37,47.47,20049624.0,0.7333400000000001,941881711.0,11.342,4.212,12683085.3792,12683085.3792
603590,康辰药业,0.827,54.85,54.7,55.49,52.12,54.4,17309114.0,43.27279,939451646.0,13.747,4.5,877600.0,219400.0
002716,金贵银业,-8.078,6.6,6.46,6.97,6.46,7.18,139639394.0,22.40818,918244896.0,14.043,0.993,633915.60672,411287.36682
600276,恒瑞医药,-1.43,64.79,65.7,66.3,64.78,65.73,13753728.0,0.37559000000000003,899466442.0,56.968,13.975,23858544.627071,23725760.761571
300724,捷佳伟创,2.771,32.27,31.51,32.79,31.37,31.4,27289508.0,34.11189,877563588.0,30.443,7.319,1032640.0,258160.0
000979,中弘股份,9.89,1.0,0.95,1.0,0.94,0.91,882193787.0,10.51618,873532484.0,-3.333,1.326,839060.1199,838892.1199
600588,用友网络,-2.737,29.5,30.16,30.32,29.3,30.33,28732155.0,1.5259,857985013.0,109.259,9.641,5600960.97505,5554744.0419
601360,三六零,-0.714,27.8,27.22,29.47,27.11,28.0,30284309.0,7.62479,850706176.0,0.0,9.728,18804073.36426,1104167.19154
600585,海螺水泥,-3.59,35.99,37.1,37.18,35.96,37.33,23340923.0,0.58357,849074585.0,12.037,1.988,19072189.981821,14394929.581821
600030,中信证券,-2.151,15.92,16.18,16.23,15.92,16.27,51991864.0,0.52974,834842441.0,16.936,1.286,19290118.1728,15624941.4264
600048,保利地产,-4.207,11.84,12.17,12.28,11.8,12.36,67381916.0,0.57413,807696185.0,8.97,1.344,14040394.216224,13895827.671776
000725,京东方Ａ,-2.053,3.34,3.38,3.4,3.33,3.41,235224415.0,0.6947,791144010.0,15.392,1.3599999999999999,11622665.186842,11309155.876756
