,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.689,5.82,5.92,5.94,5.75,5.92,2231900.0,0.9687100000000001,12994072.0,44.427,1.979,335232.0,134092.8
1,603998,方盛制药,-3.562,7.58,7.82,7.86,7.51,7.86,2941749.0,0.69186,22442630.0,54.143,3.241,326649.84426,322299.11376
2,603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,中新科技,-3.724,10.6,10.86,10.97,10.53,11.01,7567084.0,7.32712,81065144.0,21.633,2.107,318159.0,109471.5
4,603993,洛阳钼业,1.554,5.88,5.84,5.96,5.79,5.79,154809702.0,0.87633,908950075.0,42.0,3.263,12700353.462804,10387474.278804
5,603991,至正股份,-1.84,22.4,22.82,22.82,22.11,22.82,328000.0,0.7984600000000001,7341888.0,41.481,3.568,166958.39552,92016.77632
6,603990,麦迪科技,1.577,34.13,33.6,34.41,33.5,33.6,326200.0,0.5412100000000001,11077710.0,53.328,6.44,276188.8338,205708.336
7,603989,艾华集团,-5.328,21.68,22.99,23.02,21.05,22.9,2141915.0,0.5492100000000001,46994854.0,22.351,3.17,845520.0,845520.0
8,603988,中电电机,-1.555,14.56,14.67,14.69,14.11,14.79,1857147.0,1.10544,26853079.0,52.0,2.594,244608.0,244608.0
9,603987,康德莱,-2.436,7.21,7.43,7.43,7.17,7.39,1542860.0,0.5798,11199324.0,18.974,1.812,318400.089,191858.12163
10,603986,兆易创新,-4.023,113.55,118.24,118.55,112.25,118.31,4612927.0,2.2242,526612135.0,57.06,13.453,3221999.73594,2354994.967545
11,603985,恒润股份,-1.527,19.35,19.65,19.67,19.01,19.65,423780.0,0.6366900000000001,8188610.0,15.29,1.501,201240.0,128793.6
12,603980,吉华集团,-0.454,15.35,15.33,15.58,15.33,15.42,3787154.0,1.54179,58479311.0,17.384,1.875,767500.0,377046.79008
